Order_ID,Date,Product,Category,Quantity,Price,City
1001,2026-01-01,Laptop,Electronics,2,55000,Kolkata
1002,2026-01-03,Mobile,Electronics,3,20000,Delhi
1003,2026-01-05,Chair,Furniture,5,3000,Mumbai
1004,2026-01-07,Table,Furniture,2,7000,Chennai
1005,2026-01-09,Headphones,Electronics,4,2500,Bangalore
1006,2026-01-11,Sofa,Furniture,1,25000,Hyderabad
1007,2026-01-13,Monitor,Electronics,2,15000,Pune
1008,2026-01-15,Keyboard,Electronics,6,1200,Kolkata
1009,2026-01-17,Desk,Furniture,2,9000,Delhi
1010,2026-01-19,Mouse,Electronics,8,800,Mumbai
